Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious_Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
Lithuania,1396037,77.00,9895.00,,1384266.00,154.00,1876.00,N/A,524489.00,3718.00,10540357.00,3959997.00,2661708.00
Slovenia,1356402,12.00,7100.00,,1349175.00,19.00,127.00,N/A,652733.00,3417.00,2847701.00,1370382.00,2078034.00
Bulgaria,1339321,21.00,38737.00,1,1292587.00,8.00,7997.00,35.00,195676.00,5660.00,11623445.00,1698193.00,6844597.00
Croatia,1309728,,18687.00,,1258432.00,,32609.00,,322650.00,4604.00,5660084.00,1394355.00,4059286.00
Guatemala,1286737,,20283.00,,1263625.00,,2829.00,5.00,69239.00,1091.00,7593848.00,408622.00,18584039.00
Morocco,1278844,,16301.00,,N/A,N/A,N/A,N/A,33856.00,432.00,13001033.00,344191.00,37772756.00
Lebanon,1243838,,10952.00,,1087587.00,,145299.00,74.00,186068.00,1638.00,4795578.00,717380.00,6684849.00
Costa Rica,1238883,,9428.00,,N/A,N/A,N/A,N/A,239058.00,1819.00,4659757.00,899158.00,5182354.00
Bolivia,1211716,,22407.00,,1177145.00,,12164.00,220.00,101038.00,1868.00,2710261.00,225993.00,11992656.00
Tunisia,1153361,,29423.00,,N/A,N/A,N/A,N/A,95741.00,2442.00,5013383.00,416164.00,12046656.00
Cuba,1115235,,8530.00,,1106635.00,,70.00,,98644.00,754.00,14400079.00,1273706.00,11305652.00
Ecuador,1070188,,36043.00,,1034145.00,,0.00,,59083.00,1990.00,3082403.00,170173.00,18113361.00
UAE,1067030,,2349.00,,N/A,N/A,N/A,,105837.00,233.00,200732262.00,19910389.00,10081785.00
Panama,1059742,,8726.00,,1050908.00,,108.00,16.00,238307.00,1962.00,7847296.00,1764641.00,4446964.00
Uruguay,1041111,,7664.00,,1030944.00,,2503.00,18.00,297799.00,2192.00,6114822.00,1749083.00,3496016.00
Mongolia,1011456,,2284.00,,1009172.00,,0.00,N/A,299418.00,676.00,4030048.00,1193000.00,3378078.00
Nepal,1003450,,12031.00,,991322.00,,97.00,,33199.00,398.00,6047766.00,200088.00,30225582.00
Belarus,994037,,7118.00,,985592.00,,1327.00,,105381.00,755.00,13646641.00,1446722.00,9432800.00
Latvia,982232,,6675.00,,971406.00,,4151.00,,531270.00,3610.00,7885792.00,4265272.00,1848837.00
Saudi Arabia,841469,,9646.00,,N/A,N/A,N/A,,23475.00,269.00,45481735.00,1268848.00,35844909.00
Paraguay,837602,,20151.00,,N/A,N/A,N/A,N/A,114648.00,2758.00,2657506.00,363751.00,7305843.00
Azerbaijan,834630,,10400.00,,824089.00,,141.00,,81030.00,1010.00,7748050.00,752223.00,10300205.00
Bahrain,729549,,1574.00,,727915.00,,60.00,N/A,408944.00,882.00,10948549.00,6137138.00,1783983.00
Cyprus,681110,,1365.00,,679745.00,,0.00,,556741.00,1116.00,9640118.00,7879860.00,1223387.00
Dominican Republic,674608,,4384.00,,669198.00,,1026.00,4.00,61015.00,397.00,3740928.00,338350.00,11056370.00
Sri Lanka,672748,,16897.00,,655852.00,,-1.00,,31181.00,783.00,6486117.00,300619.00,21575842.00
Kuwait,667026,,2570.00,,N/A,N/A,N/A,,152278.00,587.00,8455743.00,1930391.00,4380326.00
Myanmar,641770,,19495.00,,620159.00,,2116.00,,11621.00,353.00,11656269.00,211061.00,55227143.00
Moldova,634130,,12202.00,,N/A,N/A,N/A,N/A,158012.00,3040.00,3216305.00,801437.00,4013171.00
Estonia,627743,,3001.00,,N/A,N/A,N/A,N/A,474876.00,2270.00,6939567.00,5249652.00,1321910.00
Palestine,621008,,5404.00,,615445.00,,159.00,,116173.00,1011.00,3078533.00,575907.00,5345541.00
Venezuela,552695,,5856.00,,546537.00,,302.00,31.00,18885.00,200.00,3359014.00,114771.00,29266991.00
Egypt,516023,,24613.00,,442182.00,,49228.00,122.00,4861.00,232.00,3693367.00,34792.00,106156692.00
Qatar,514524,,690.00,,513687.00,,147.00,16.00,172664.00,232.00,4065369.00,1364257.00,2979915.00
Libya,507274,,6437.00,,500835.00,,2.00,,72048.00,914.00,2483848.00,352782.00,7040745.00
Ethiopia,501117,,7574.00,,488171.00,,5372.00,,4148.00,63.00,5565340.00,46066.00,120812698.00
Réunion,494595,,921.00,,N/A,N/A,N/A,N/A,544672.00,1014.00,1603660.00,1766027.00,908061.00
Honduras,474590,,11165.00,,N/A,N/A,N/A,N/A,46432.00,1092.00,1660662.00,162472.00,10221247.00
Armenia,451426,,8776.00,,435162.00,,7488.00,,151895.00,2953.00,3242901.00,1091164.00,2971966.00
Bosnia and Herzegovina,403565,,16382.00,,379084.00,,8099.00,,124200.00,5042.00,1884721.00,580036.00,3249317.00
Oman,399449,,4628.00,,N/A,N/A,N/A,,75028.00,869.00,25000000.00,4695724.00,5323993.00
Luxembourg,391020,,1232.00,,N/A,N/A,N/A,,608714.00,1918.00,4587145.00,7140959.00,642371.00
North Macedonia,350509,,9971.00,,337068.00,,3470.00,,168408.00,4791.00,2226216.00,1069626.00,2081304.00
Zambia,349304,,4069.00,,341316.00,,3919.00,,17940.00,209.00,4112961.00,211244.00,19470234.00
Kenya,344130,,5689.00,,337309.00,,1132.00,N/A,6122.00,101.00,3967062.00,70569.00,56215221.00
Brunei,342802,,225.00,,243601.00,,98976.00,3.00,769596.00,505.00,717784.00,1611437.00,445431.00
Albania,334863,,3605.00,,330233.00,,1025.00,,116825.00,1258.00,1941032.00,677173.00,2866374.00
Botswana,330442,,2801.00,,327049.00,,592.00,1.00,135363.00,1147.00,2026898.00,830300.00,2441162.00
Montenegro,296452,,2845.00,,291794.00,,1813.00,N/A,472095.00,4531.00,2769281.00,4410034.00,627950.00
Algeria,272010,,6881.00,,183061.00,,82068.00,,5998.00,152.00,230960.00,5093.00,45350148.00
Nigeria,267188,,3155.00,,259953.00,,4080.00,11.00,1233.00,15.00,5708974.00,26339.00,216746934.00
Zimbabwe,266319,,5737.00,,258888.00,,1694.00,12.00,17371.00,374.00,2525756.00,164744.00,15331428.00
Uzbekistan,253662,,1637.00,,241486.00,,10539.00,23.00,7378.00,48.00,1377915.00,40077.00,34382084.00
Mozambique,233731,,2250.00,,228805.00,,2676.00,11.00,7064.00,68.00,1371127.00,41437.00,33089461.00
Afghanistan,231625,,7984.00,,209990.00,,13651.00,,5683.00,196.00,1359910.00,33368.00,40754388.00
Martinique,230354,,1102.00,,N/A,N/A,N/A,N/A,615777.00,2946.00,828928.00,2215870.00,374087.00
Laos,218934,,758.00,,N/A,N/A,N/A,,29265.00,101.00,1233207.00,164845.00,7481023.00
Iceland,209884,,229.00,,N/A,N/A,N/A,,607667.00,663.00,1996384.00,5780036.00,345393.00
Kyrgyzstan,206897,,2991.00,,196406.00,,7500.00,131.00,30750.00,445.00,1907195.00,283460.00,6728271.00
Guadeloupe,203235,,1021.00,,N/A,N/A,N/A,N/A,508349.00,2554.00,938039.00,2346306.00,399794.00
El Salvador,201855,,4230.00,,179410.00,,18215.00,,30816.00,646.00,2610114.00,398467.00,6550389.00
Trinidad and Tobago,191496,,4390.00,,187078.00,,28.00,N/A,136143.00,3121.00,913289.00,649295.00,1406585.00
Maldives,186694,,316.00,,163687.00,,22691.00,25.00,345100.00,584.00,2213831.00,4092223.00,540985.00
Namibia,172280,,4103.00,,167099.00,,1078.00,,65409.00,1558.00,1062663.00,403460.00,2633874.00
Uganda,171983,,3632.00,,100431.00,,67920.00,,3551.00,75.00,3012408.00,62198.00,48432863.00
Ghana,171889,,1462.00,,170425.00,,2.00,,5306.00,45.00,2541625.00,78456.00,32395450.00
Jamaica,156834,,3739.00,,N/A,N/A,N/A,,52539.00,1253.00,1183986.00,396633.00,2985094.00
Cambodia,139091,,3056.00,,136031.00,,4.00,,8101.00,178.00,3091420.00,180062.00,17168639.00
Rwanda,133518,,1468.00,,132039.00,,11.00,,9817.00,108.00,6021981.00,442778.00,13600464.00
Cameroon,125359,,1974.00,,123276.00,,109.00,N/A,4491.00,71.00,1751774.00,62762.00,27911548.00
Malta,121392,,882.00,,120096.00,,414.00,,273385.00,1986.00,2167457.00,4881297.00,444033.00
Barbados,110480,,648.00,,108647.00,,1185.00,,383580.00,2250.00,813173.00,2823292.00,288023.00
Angola,107322,,1937.00,,103419.00,,1966.00,,3064.00,55.00,1499795.00,42818.00,35027343.00
Channel Islands,101717,,228.00,,101321.00,,168.00,,576421.00,1292.00,1252808.00,7099551.00,176463.00
DRC,99338,,1468.00,,84489.00,,13381.00,,1043.00,15.00,846704.00,8890.00,95240792.00
French Guiana,98041,,420.00,,11254.00,,86367.00,6.00,312065.00,1337.00,651257.00,2072951.00,314169.00
Malawi,89168,,2686.00,,N/A,N/A,N/A,N/A,4418.00,133.00,624784.00,30959.00,20180839.00
Senegal,89053,,1971.00,,87024.00,,58.00,,5044.00,112.00,1146543.00,64946.00,17653671.00
Ivory Coast,88384,,835.00,,87497.00,,52.00,,3186.00,30.00,1690934.00,60951.00,27742298.00
Suriname,82588,,1408.00,,N/A,N/A,N/A,,138378.00,2359.00,242207.00,405822.00,596831.00
New Caledonia,80064,,314.00,,N/A,N/A,N/A,N/A,275214.00,1079.00,98964.00,340182.00,290915.00
French Polynesia,79254,,650.00,,N/A,N/A,N/A,N/A,278902.00,2287.00,,,284164.00
Eswatini,75191,,1427.00,,73116.00,,648.00,,63462.00,1204.00,1048704.00,885119.00,1184817.00
Guyana,74137,,1300.00,,72013.00,,824.00,,93366.00,1637.00,733218.00,923396.00,794045.00
Belize,71381,,688.00,,N/A,N/A,N/A,N/A,173175.00,1669.00,576016.00,1397453.00,412190.00
Fiji,69117,,885.00,,67226.00,,1006.00,,75997.00,973.00,672883.00,739866.00,909466.00
Madagascar,68486,,1426.00,,66862.00,,198.00,,2347.00,49.00,531329.00,18210.00,29178077.00
Cabo Verde,64477,,417.00,,63755.00,,305.00,23.00,113580.00,735.00,401622.00,707482.00,567678.00
Sudan,63993,,5046.00,,58947.00,,0.00,,1391.00,110.00,562941.00,12240.00,45992020.00
Mauritania,63832,,997.00,,62471.00,,364.00,,13022.00,203.00,1009957.00,206030.00,4901981.00
Bhutan,62697,,21.00,,61564.00,,1112.00,,79571.00,27.00,2303734.00,2923739.00,787941.00
Syria,57743,,3165.00,,54578.00,,0.00,,2982.00,163.00,146269.00,7553.00,19364809.00
Burundi,54721,,38.00,,53569.00,,1114.00,,4334.00,3.00,345742.00,27386.00,12624840.00
Seychelles,51220,,172.00,,51048.00,,0.00,,515157.00,1730.00,,,99426.00
Gabon,49051,,307.00,,48674.00,,70.00,,21038.00,132.00,1621909.00,695641.00,2331533.00
Andorra,48015,,165.00,,N/A,N/A,N/A,N/A,619844.00,2130.00,249838.00,3225256.00,77463.00
Papua New Guinea,46864,,670.00,,46168.00,,26.00,N/A,5043.00,72.00,249149.00,26813.00,9292169.00
Curaçao,45986,,295.00,,44720.00,,971.00,3.00,277812.00,1782.00,496693.00,3000640.00,165529.00
Aruba,44224,,292.00,,42438.00,,1494.00,2.00,410969.00,2714.00,177885.00,1653068.00,107609.00
Tanzania,43223,,846.00,,N/A,N/A,N/A,N/A,683.00,13.00,,,63298550.00
Mauritius,43025,,1051.00,,41278.00,,696.00,,33752.00,824.00,358675.00,281374.00,1274727.00
Mayotte,42027,,188.00,,N/A,N/A,N/A,,146815.00,657.00,176919.00,618038.00,286259.00
Togo,39557,,290.00,,39265.00,,2.00,,4557.00,33.00,814921.00,93876.00,8680837.00
Guinea,38572,,468.00,,37757.00,,347.00,N/A,2782.00,34.00,660107.00,47607.00,13865691.00
Bahamas,38084,,844.00,,36366.00,,874.00,1.00,95087.00,2107.00,257839.00,643767.00,400516.00
Isle of Man,38008,,116.00,,N/A,N/A,N/A,,443335.00,1353.00,150753.00,1758422.00,85732.00
Lesotho,36138,,723.00,,25980.00,,9435.00,,16610.00,332.00,431221.00,198199.00,2175699.00
Faeroe Islands,34658,,28.00,,N/A,N/A,N/A,N/A,703959.00,569.00,778000.00,15802409.00,49233.00
Haiti,34542,,860.00,,33576.00,,106.00,,2957.00,74.00,132422.00,11337.00,11680283.00
Mali,33164,,743.00,,32332.00,,89.00,,1544.00,35.00,804909.00,37483.00,21473764.00
Cayman Islands,31472,,37.00,,8553.00,,22882.00,1.00,467797.00,550.00,222773.00,3311280.00,67277.00
Saint Lucia,30215,,410.00,,29801.00,2.00,4.00,,163225.00,2215.00,210983.00,1139752.00,185113.00
Benin,28036,,163.00,,27847.00,,26.00,,2193.00,13.00,604310.00,47268.00,12784726.00
Somalia,27334,,1361.00,,13182.00,,12791.00,,1623.00,81.00,400466.00,23778.00,16841795.00
Micronesia,26547,,65.00,,N/A,N/A,N/A,N/A,225953.00,553.00,82430.00,701598.00,117489.00
San Marino,26185,,128.00,,26011.00,,46.00,N/A,768226.00,3755.00,196855.00,5775414.00,34085.00
Solomon Islands,25954,,199.00,,N/A,N/A,N/A,N/A,35989.00,276.00,,,721159.00
Congo,25375,,386.00,,24006.00,,983.00,,4377.00,67.00,347815.00,59991.00,5797805.00
Timor-Leste,23460,,138.00,,23102.00,,220.00,,17131.00,101.00,278529.00,203391.00,1369429.00
Macao,22706,,123.00,,3487.00,,19096.00,,34017.00,184.00,7850.00,11760.00,667490.00
Burkina Faso,22109,,400.00,,21596.00,,113.00,,1000.00,18.00,248995.00,11265.00,22102838.00
Liechtenstein,21572,,94.00,,N/A,N/A,N/A,N/A,561961.00,2449.00,112457.00,2929559.00,38387.00
Gibraltar,20550,,113.00,,N/A,N/A,N/A,,609720.00,3353.00,534283.00,15852213.00,33704.00
Grenada,19693,,238.00,,19358.00,,97.00,4.00,173545.00,2097.00,182981.00,1612523.00,113475.00
Bermuda,18860,,165.00,,18685.00,,10.00,,304493.00,2664.00,1029558.00,16622128.00,61939.00
South Sudan,18819,,147.00,,18115.00,,557.00,1.00,1620.00,13.00,410280.00,35313.00,11618511.00
Nicaragua,18491,,225.00,,4225.00,,14041.00,,2728.00,33.00,,,6779100.00
Tajikistan,17786,,125.00,,17264.00,,397.00,,1786.00,13.00,,,9957464.00
Equatorial Guinea,17229,,183.00,,16907.00,,139.00,5.00,11512.00,122.00,365697.00,244342.00,1496662.00
Monaco,17181,,67.00,,N/A,N/A,N/A,N/A,431868.00,1684.00,78646.00,1976875.00,39783.00
Samoa,17006,,31.00,,1605.00,,15370.00,,84089.00,153.00,187397.00,926612.00,202239.00
Tonga,16950,,13.00,,15638.00,,1299.00,,157310.00,121.00,535009.00,4965327.00,107749.00
Marshall Islands,16138,,17.00,,16121.00,,0.00,,268711.00,283.00,,,60057.00
Dominica,16038,,74.00,,15964.00,,0.00,,221691.00,1023.00,229344.00,3170187.00,72344.00
Djibouti,15690,,189.00,,15427.00,,74.00,,15441.00,186.00,305941.00,301094.00,1016097.00
CAR,15440,,113.00,,15200.00,,127.00,2.00,3078.00,23.00,81294.00,16205.00,5016678.00
Gambia,12626,,372.00,,12189.00,,65.00,,4935.00,145.00,155686.00,60851.00,2558482.00
Saint Martin,12324,,63.00,,N/A,N/A,N/A,N/A,310194.00,1586.00,112382.00,2828643.00,39730.00
Vanuatu,12019,,14.00,,11976.00,,29.00,,37346.00,44.00,24976.00,77606.00,321832.00
Greenland,11971,,21.00,,2761.00,,9189.00,4.00,210117.00,369.00,164926.00,2894810.00,56973.00
Yemen,11945,,2159.00,,9124.00,,662.00,N/A,383.00,69.00,329592.00,10579.00,31154867.00
Caribbean Netherlands,11682,,38.00,,10476.00,,1168.00,,438398.00,1426.00,30126.00,1130559.00,26647.00
Sint Maarten,11051,,92.00,,10905.00,,54.00,N/A,251353.00,2093.00,62056.00,1411454.00,43966.00
Eritrea,10189,,103.00,,10086.00,,0.00,,2782.00,28.00,23693.00,6470.00,3662244.00
Niger,9931,,312.00,,8890.00,,729.00,1.00,381.00,12.00,254538.00,9759.00,26083660.00
St. Vincent Grenadines,9674,,124.00,,9493.00,,57.00,,86723.00,1112.00,114197.00,1023720.00,111551.00
Guinea-Bissau,9614,,177.00,,8929.00,,508.00,6.00,4659.00,86.00,145231.00,70385.00,2063367.00
Comoros,9109,,161.00,,8939.00,,9.00,,10038.00,177.00,,,907419.00
Antigua and Barbuda,9106,,146.00,,8954.00,,6.00,N/A,91509.00,1467.00,18901.00,189943.00,99509.00
Liberia,8090,,295.00,,7783.00,,12.00,2.00,1525.00,56.00,139824.00,26356.00,5305117.00
Sierra Leone,7779,,126.00,,N/A,N/A,N/A,,937.00,15.00,259958.00,31296.00,8306436.00
Chad,7701,,194.00,,4874.00,,2633.00,,442.00,11.00,191341.00,10988.00,17413580.00
British Virgin Islands,7392,,64.00,,N/A,N/A,N/A,,241600.00,2092.00,107339.00,3508269.00,30596.00
Cook Islands,7203,,2.00,,7150.00,,51.00,,409937.00,114.00,19690.00,1120596.00,17571.00
Sao Tome and Principe,6751,,80.00,,6671.00,,0.00,,29651.00,351.00,29600.00,130008.00,227679.00
Turks and Caicos,6749,,40.00,,6683.00,,26.00,4.00,169825.00,1007.00,616670.00,15517224.00,39741.00
Saint Kitts and Nevis,6607,,48.00,,6559.00,,0.00,,122645.00,891.00,126958.00,2356704.00,53871.00
Palau,6279,,10.00,,6268.00,,1.00,,344376.00,548.00,71280.00,3909395.00,18233.00
St. Barth,5507,,6.00,,N/A,N/A,N/A,,553746.00,603.00,78646.00,7908095.00,9945.00
Nauru,5393,,1.00,,5347.00,,45.00,,494635.00,92.00,20509.00,1881042.00,10903.00
Kiribati,5085,,24.00,,2703.00,,2358.00,3.00,41201.00,194.00,,,123419.00
Anguilla,3904,,12.00,,N/A,N/A,N/A,N/A,256336.00,788.00,51382.00,3373736.00,15230.00
Wallis and Futuna,3550,,8.00,,438.00,,3104.00,,323256.00,728.00,20508.00,1867419.00,10982.00
Saint Pierre Miquelon,3452,,2.00,,2449.00,,1001.00,,599410.00,347.00,25400.00,4410488.00,5759.00
Tuvalu,2943,,1.00,,N/A,N/A,N/A,N/A,243909.00,83.00,,,12066.00
Saint Helena,2166,,,,2.00,,2164.00,,354211.00,,,,6115.00
Falkland Islands,1930,,,,1930.00,,0.00,,545352.00,,8632.00,2439107.00,3539.00
Montserrat,1403,,8.00,,1376.00,,19.00,,282578.00,1611.00,17762.00,3577442.00,4965.00
Niue,1055,,,,1053.00,,2.00,,650432.00,,,,1622.00
Diamond Princess,712,,13.00,,699.00,,0.00,,,,,,
Tokelau,80,,,,,,80.00,,58055.00,,,,1378.00
Vatican City,29,,,,29.00,,0.00,,36295.00,,,,799.00
Western Sahara,10,,1.00,,9.00,,0.00,,16.00,2.00,,,626161.00
MS Zaandam,9,,2.00,,7.00,,0.00,,,,,,
China,503302,,5272.00,,379053.00,,118977.00,N/A,347.00,4.00,160000000.00,110461.00,1448471400.00
Total:,131413625,,1674775.00,,126866566.00,,2872284.00,6926.00,,,,,
Total:,221452228,161.00,1553005.00,2,205616782.00,583.00,14282441.00,14733.00,,,,,
Total:,253186231,940.00,2100109.00,35,248509042.00,2477.00,2577080.00,4521.00,,,,,
Total:,69791773,,1365551.00,,66648277.00,,1777945.00,8953.00,,,,,
Total:,14826780,1345.00,32665.00,,14572565.00,,221550.00,33.00,,,,,
Total:,12859770,,258884.00,,12089899.00,,510987.00,529.00,,,,,
Total:,721,,15.00,,706.00,,0.00,0.00,,,,,
Total:,703531128,2446.00,6985004.00,37,674303837.00,5178.00,22242287.00,35695.00,90256.50,896.10,,,
